uuid,Title,Organization,Location,Description,Start time,End time,Published,Public,Tags,Interested,Favorites,Creation date,Last Modified,Has cover,Capacity
0534e6da-5cea-55ba-9fa4-2eee2a8651f1,Grilled Cheese Social,WIMatUCB,"Womxn in Mathematics at Berkeley - WIM, Berkeley, CA",,2020-03-04 20:30:00,2020-03-04 22:00:00,1,1,"[""1""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
e51ad807-defe-5392-a5e1-6bf483bbfb54,AIChE Chocolate Truffle Fundraiser,berkeley.aiche,"Upper Sproul, Berkeley, CA",,2020-03-04 15:00:00,2020-03-04 16:30:00,1,1,"[1, 23, 27]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
df4a01e6-dd9d-5f08-9976-12e9e7eabc65,ARCH Lecture: Dr. Lucas Crawford,CEDNews,112 Wurster Hall,,2020-03-05 01:30:00,2020-03-05 03:00:00,1,1,"[2, 11, 31]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
41b55c7b-d5d6-506f-992b-69a913bb243f,ARCH Lecture: Maki Onishi and Yuki Hyakuda,CEDNews,112 Wurster Hall,,2020-03-10 01:30:00,2020-03-10 03:00:00,1,1,"[2, 11, 31]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
068a4c36-367c-571b-86ff-9d163b218211,Rescheduled: LAEP Lecture and Film Screening | Lynden B. Miller,CEDNews,112 Wurster Hall,,2020-03-12 01:30:00,2020-03-12 03:00:00,1,1,"[2, 11, 31]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
cf874e6f-2d2b-5436-a223-420770c9b565,MREDD Distinguished Fellow Talk: Cedric Bobo,CEDNews,112 Wurster Hall,,2020-03-13 01:30:00,2020-03-13 03:00:00,1,1,"[2, 11, 31]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
874ab571-a0b0-51b1-9345-f4b1479ef936,ARCH Lecture: Wanda Katja Liebermann,CEDNews,112 Wurster Hall,,2020-03-17 01:30:00,2020-03-17 03:00:00,1,1,"[2, 11, 31]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
fac10604-d1a7-59af-b1cc-fff715d3dea0,LAEP Lecture Series | Plural: Respect + Delight,CEDNews,112 Wurster Hall,,2020-03-19 01:30:00,2020-03-19 03:00:00,1,1,"[2, 11, 31]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
3ae107fb-d808-5531-b32c-7df36ee23d96,Asian Pacific Islander Issues Conference 2020,ASUCEAVP,"University of California, Berkeley, Oakland, CA",,2020-03-07 17:00:00,2020-03-07 18:30:00,1,1,"[1, 29]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
bbc9e518-ccf4-5d16-a6dd-4b2d4d5b6ee2,Speed Mentoring!,ieeeucb,"293 Cory Hall, Berkeley, CA 94720-1771, United States",,2020-03-06 01:00:00,2020-03-06 02:30:00,1,1,"[27, 8, 11]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
df341b3f-366d-5f4b-9965-8bbdff25386f,Racha's Cafe,ieeeucb,"Racha Cafe, Berkeley, CA",,2020-03-14 01:00:00,2020-03-14 02:30:00,1,1,"[27, 8, 11]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
69859ef1-af8a-5f96-8b9b-006fe1d6b3a5,DIY Plushie Pals,etakappanumu,Cory 521,,2020-03-06 02:00:00,2020-03-06 03:30:00,1,1,[10],[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
a94dda1e-6c53-59c2-bedd-24716ce6ca34,Chipotle Fundraiser,etakappanumu,"UC Berkeley HKN, Berkeley, CA",,2020-03-12 00:00:00,2020-03-12 01:30:00,1,1,[10],[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
8e488350-f05f-55cf-bf41-0792b5b310d3,Accel Scholars Program Infosession,etakappanumu,310 Banatao in Sutardja Dai Hall,,2020-03-18 00:30:00,2020-03-18 02:00:00,1,1,[10],[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
17e40c4a-b579-5aa8-a322-d6b895858849,MetLife Real Estate Recruitment Event,urecberkeley,"Cheit C325, Haas School of Business - UC Berkeley",,2020-03-04 19:00:00,2020-03-04 20:30:00,1,1,"[3, 6, 18]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
347719c9-13e2-57e4-8908-e3105c8ff6e3,UREC Luxury Real Estate Brokerage Workshop,urecberkeley,Chou N270,,2020-03-06 00:00:00,2020-03-06 01:30:00,1,1,"[3, 6, 18]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
ba3fefe5-88a9-5268-b4f7-4631d2f028a4,UCB Startup Fair Spring 2020,ucbstartupfair,"Pauley Ballroom, Berkeley, CA",,2020-03-17 18:00:00,2020-03-17 19:30:00,1,1,"[6, 20, 3]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
8433139f-224c-53f9-8699-71602da5efae,"BEACN x ASUC: Resume, Interview, & Pitch Workshop",beacn,"Valley Life Sciences B, Berkeley, CA 94720, United States",,2020-03-12 02:00:00,2020-03-12 03:30:00,1,1,"[""1""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
e2513cb3-315e-5832-ad06-97d99f381e0e,Berkeley Summer Abroad: Barcelona Info Session,ucbstudyabroad,"442 Stephens Hall, Berkeley, CA 94720-2341, United States",,2020-03-04 19:00:00,2020-03-04 20:30:00,1,1,"[5, 1, 4]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
67c6c728-adc9-55bb-8b36-b42ea22009e6,Berkeley Summer Abroad: Brazil Info Session,ucbstudyabroad,"78 Barrows Hall, Berkeley, CA 94720-5651, United States",,2020-03-05 23:30:00,2020-03-06 01:00:00,1,1,"[5, 1, 4]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
7f202ebd-57b4-5156-a874-595c5cfe4e5a,Cal Day 2020,ucbstudyabroad,"UC Berkeley, Berkeley, CA",,2020-04-18 15:00:00,2020-04-18 16:30:00,1,1,"[5, 1, 4]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
5089b67d-18ae-53d4-9aaa-478bfe4a8408,Facebook Live: Coronavirus Updates (Episode 4),UCBerkeleySPH,"Asia Society Hong Kong Center, Hong Kong",,2020-03-05 16:30:00,2020-03-05 18:00:00,1,1,"[11, 5, 13]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
